French,Turkish
Frère,Abi
Sœur aînée,Abla
Je me demande,Acaba
Angle,Acı
Ouvrir,Açık
Avoir faim,Acıkmak
Urgent,Acil
Ouvrir,Açmak
Nom,Ad
Homme,Adam
Pièce,Adet
Mon nom,Adım
Adresse,Adres
Arbre,Ağaç
Lourd,Ağır
Bouche,Ağız
Pleurer,Ağlamak
Famille,Aile
Pensée,Akıl
Intelligent,Akıllı
Flux,Akmak
soirée,Akşam
Zone,Alan
S'habituer à,Alışmak
Achats,Alışveriş yapmak
Dieu,Allah
Prendre,Almak
Six,Altı
Or,Altın
Soixante,Altmış
Mais,Ama
Avoir pour but,Amaç
Oncle,Amca
Moment,An
Sens,Anlam
Comprendre,Anlamak
Se faire comprendre,Anlaşılmak
Raconter,Anlatmak
Maman,Anne
Appartement,Apartman
Auto,Araba
Véhicule,Araç
Décembre,Aralık
Rechercher,Aramak
Rechercher,Araştırmak
Abeille,Arı
ami,Arkadaş
Poire,Armut
Maintenant,Artık
Augmenter,Artmak
Royal,Asıl
Extrême,Aşırı
l'amour,Aşk
Soldat,Asker
jamais,Asla
Réellement,Aslında
Cheval,At
Feu,Ateş
Saut,Atlamak
Lancer,Atmak
Lune,Ay
Le pied,Ayak
Chaussures,Ayakkabı
Ours,Ayı
Séparer,Ayırmak
Miroiter,Ayna
même,Aynı
Séparé,Ayrı
Quitter,Ayrılmak
Peu,Az
Père,Baba
Jambe,Bacak
Crier,Bağırmak
Connecter,Bağlamak
Jardin,Bahçe
Ministre,Bakan
Voir,Bakış
Voir,Bakmak
Le poisson,Balık
Banque,Banka
Bande,Bant
Salle de bains,Banyo
Un verre,Bardak
Paix,Barış
Diriger,Baş
Succès,Başarı
Simple,Basit
Autre,Başka
Ministre,Başkan
Oppression,Baskı
Commencer,Başlamak
Imprimer,Basmak
Ouest,Batı
Évier,Batmak
Couverture,Battaniye
Drapeau,Bayrak
Fête,Bayram
Parfois,Bazen
Certains,Bazı
De bébé,Bebek
Libérer,Bedava
Corps,Beden
Comme,Beğenmek
Seul,Bekâr
Attendre,Beklemek
Taille,Bel
Conseil,Belediye
Document,Belge
peut être,Belki
Dégager,Belli
Ressembler,Benzemek
De l'essence,Benzin
Ensemble,Beraber
Cinq,Beş
Gentleman,Bey
Blanc,Beyaz
Cerveau,Beyin
Chiffon,Bez
Couteau,Bıçak
Format,Biçim
Billet,Bilet
Informations,Bilgi
L'ordinateur,Bilgisayar
La science,Bilim
À savoir,Bilmek
Mille,Bin
Imeuble,Bina
Pour aller,Binmek
UN,Bir
Quitter,Bırakmak
Certains,Biraz
Beaucoup,Birçok
Quelqu'un,Biri
Première,Birinci
Quelqu'un,Birisi
Quelques,Birkaç
Ensemble,Birlikte
Finir,Bitirmek
Herbe,Bitki
Finir,Bitmek
Punaise,Böcek
Gorge,Boğaz
Zone,Bölge
Zone,Bölge
Diviser,Bölmek
Section,Bölüm
Tuyau,Boru
Nul,Boş
Décharge,Boşaltmak
Divorcer,Boşanmak
Taille,Boy
Peindre,Boyamak
Cou,Boyun
Cassé,Bozuk
Être brisé,Bozulmak
Aujourd'hui,Bugün
Trouver,Bulmak
Rencontrer,Buluşmak
Ici,Burada
Ici,Burası
Nez,Burun
Tous,Bütün
Gros,Büyük
Se développer,Büyümek
Rapide,Çabuk
Rue,Cadde
Appeler,Çağırmak
Travail,Çalışmak
Jouer,Çalmak
Pin,Cam
Lin,Çamaşır
Mosquée,Cami
Cloche,Can
Vivant,Canlı
Sac,Çanta
Bosse,Çarpmak
Mercredi,Çarşamba
Fourchette,Çatal
Thé,Çay
Bouilloire,Çaydanlık
Tirer,Çekmek
